id,name,nationality,sex,date_of_birth
635098552,Airi Hatakeyama,JPN,female,1994-08-16
965051843,Airine Palsyte,LTU,female,1992-07-13
840071617,Aisen Chen,CHN,male,1995-10-22
704825548,Aisha Praught,JAM,female,1989-12-14
704391947,Aislin Jones,AUS,female,2000-02-08
273177958,Aisuluu Tynybekova,KGZ,female,1993-05-04
191963338,Aitor Martinez Rodriguez,ESP,male,1993-08-22
678408880,Aivi Luik,AUS,female,1985-03-18
234338084,Ajee Wilson,USA,female,1994-05-08
374861025,Ajla del Ponte,SUI,female,1996-07-15
504635619,Ajna Kesely,HUN,female,2001-09-10
680600926,Akalani Baravilala,USA,female,1991-07-12
213555250,Akane Kuroki,JPN,female,1978-08-13
58865414,Akane Shibata,JPN,female,1988-04-30
677730191,Akane Yamaguchi,JPN,female,1997-06-06
265984930,Akani Simbine,RSA,male,1993-09-21
285797294,Akashdeep Singh,IND,male,1994-12-02
769580282,Akeem Haynes,CAN,male,1992-03-11
194243947,Akela Jones,BAR,female,1995-04-22
58705332,Aki Mitsuhashi,JPN,female,1989-09-12
921789441,Aki Yazawa,JPN,female,1991-11-05
327133724,Akihiko Nakamura,JPN,male,1990-10-23
346354435,Akiko Sato,JPN,female,1984-02-09
850163240,Akira Ioane,NZL,male,1995-06-16
816408353,Akira Yanase,JPN,male,1988-08-11
959689266,Akossiwa Claire Ayivon,TOG,female,1996-08-11
152032519,Akua Obeng-Akrofi,GHA,female,1996-07-10
593452734,Alaa Ali,IRQ,male,1996-06-03
747058984,Alaaeldin Abouelkassem,EGY,male,1990-11-25
249203070,Alade Aminu,NGR,male,1987-09-14
158571661,Alain Sign,GBR,male,1986-02-03
471888446,Alan Campbell,GBR,male,1983-05-09
275659106,Alan Hatherly,RSA,male,1996-03-15
488926827,Alan Sinclair,GBR,male,1985-10-16
386179468,Alan Sothern,IRL,male,1987-07-28
68100583,Alana Barber,NZL,female,1987-07-08
662496867,Alana Boyd,AUS,female,1984-05-10
812220330,Alanna Kennedy,AUS,female,1995-01-21
923852920,Alastair Brogdon,GBR,male,1987-11-10
533114803,Alba Torrens,ESP,female,1989-08-30
551413911,Albachir Mouctar,NIG,male,1995-05-01
92096398,Albane Valenzuela,SUI,female,1997-12-17
930879907,Albert Espanol Lifante,ESP,male,1985-10-29
596935178,Albert Gaun,RUS,male,1992-06-21
70764024,Albert Hermoso Farras,ESP,male,1978-08-28
172435291,Albert Kibichii Rop,BRN,male,1992-07-17
389597142,Albert Puig Garrich,ESP,male,1994-04-01
184326688,Albert Ramon Ramirez,VEN,male,1992-05-07
100190722,Albert Ramos-Vinolas,ESP,male,1988-01-17
366742302,Albert Saritov,ROU,male,1985-07-08
670559048,Albert Selimov,AZE,male,1986-04-05
124573287,Albert Subirats,VEN,male,1986-09-25
635016740,Alberth Bravo,VEN,male,1987-08-29
502881474,Alberth Elis,HON,male,1996-02-12
583503806,Albertina Cruz Kassoma,ANG,female,1996-06-12
804217525,Alberto Alvarez,MEX,male,1991-03-08
331799449,Alberto Ezequiel Melian,ARG,male,1990-01-02
532248667,Alberto Fernandez,ESP,male,1983-06-16
566773050,Alberto Ignacio Palmetta,ARG,male,1990-04-05
220269839,Alberto Munarriz Egana,ESP,male,1994-05-19
861268031,Alberto Ricchetti,ITA,male,1985-05-26
663206046,Albin Lagergren,SWE,male,1992-09-11
966601149,Albina Shakirova,RUS,female,1987-03-30
74286490,Aldemir da Silva Junior,BRA,male,1992-06-08
46123715,Aldo Montano,ITA,male,1978-11-18
343089125,Alec Potts,AUS,male,1996-02-09
210525666,Aleixo-Platini Menga,GER,male,1987-09-29
969294495,Alejandra Betancur,COL,female,1987-06-13
388913856,Alejandra Garza Garza,MEX,female,1991-08-01
883610308,Alejandra Jhonay Benitez Romero,VEN,female,1980-07-07
694204413,Alejandra Llaneza,MEX,female,1988-05-31
400375379,Alejandra Orozco,MEX,female,1997-04-19
151538357,Alejandra Ortega,MEX,female,1994-07-08
281414786,Alejandra Quereda,ESP,female,1992-07-24
471263119,Alejandra Teran,MEX,female,1991-01-20
